#ID	=	¿÷ ”
0x010000	=	8
0x010100	=	11
0x010200	=	17
0x010300	=	17
0x010400	=	17
0x010500	=	17
0x010600	=	19
0x010700	=	17
0x020000	=	14
0x020100	=	14
0x020200	=	14
0x020300	=	14
0x020400	=	14
0x020500	=	14
0x020600	=	14
0x020700	=	14
0x020800	=	14
0x030000	=	9
0x030100	=	9
0x030200	=	9
0x030300	=	9
0x030400	=	3
0x040000	=	13
0x040100	=	13
0x040200	=	13
0x040300	=	13
0x040400	=	13
0x040500	=	13
0x050000	=	15
0x050100	=	15
0x050200	=	15
0x050300	=	15
0x050400	=	15
0x060000	=	4
0x060100	=	4
0x060200	=	4
0x070000	=	7
0x070100	=	7
0x080000	=	19
0x080100	=	19
0x080200	=	19
0x080300	=	19
0x080400	=	19
0x080500	=	19
0x080600	=	19
0x080700	=	19
0x080800	=	19
0x090000	=	
0x090100	=	2
0x090200	=	2
0x090300	=	2
0x090400	=	21
0x090500	=	24
0x0A0000	=	18
0x0A0100	=	18
0x0A0200	=	18
0x0A0300	=	18
0x0B0000	=	6
0x0B0100	=	6
0x0B0200	=	6
0x0C0000	=	
0x0C0100	=	5
0x0C0200	=	7
0x0C0300	=	
0x0C0400	=	21
0x0C0500	=	19
0x0C0600	=	14
0x0C0700	=	
0x0C0800	=	
0x0C0900	=	15
0x0C0A00	=	
0x0C0B00	=	
0x0C0C00	=	
